ref,the,publication,city,state,country,award,section,section_multiple,CHAP,SUBFOLDER,page_designer,est,page,comment,cat,general_category,specific_category,headline,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,,,,AWARD,
835,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT1,04-MED,,SL,,58,,20B,Combination Print & Digital,Sports,A true shooting guard,Joe Fox,"Graphics & Data Journalist
",Lorena Iñiquez Elebee,Senior graphics & data journalist,Armand Emamdjomeh,Deputy Director of Data Visualization,Ryan Menezes,"Digital editor
","
 ",,,,,,,,,,,,,,,,06-NEWS,Editorial Cartoons,8,,,,,,,11-VIS,26,,,,
456,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT1,04-MED,,SL,,58,,16Bc,Information Graphics [Single],Sports/Non-Deadline ,The true shooting guard,Joe Fox,"Graphics & Data Journalist
",Lorena Iñiquez Elebee,Senior graphics & data journalist,Ryan Menezes,Digital editor,,,,,,,,,,,,,,,,,,,07-FEA,Magazines,74,,,,,,,11-DES,61,,,,
616,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT1,04-MED,,SL,,58,,03Ha,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Kobe,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Allison Hong,Designer,Calvin Hom,Director of Photography,George Wilhelm,Photo Editor,,,,,,,,,,,,,,,08-VISUAL,Illustration,118,,,,,,,,,,,,
547,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MED-LAT1,04-MED,,SL,,58,,03Fa,News Design [Pages],"Sports/Broadsheet 175,000 and over",Kobe SS: Career in Numbers,Michael Whitley,A.M.E.,Allison Hong,Designer,,,,,,,,,,,,,,,,,,,,,08-VISUAL,Multiple Illustrations,15,,,,,,,,,,,,
285,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MED-LAT1,04-MED,,SL,,58,,15B,Photography [Multiple Photos],Multi-Day Photo Series,Kobe Retires,Calvin Hom,Director/Photography,George Wilhelm,Photo Editor,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,,,,,,,,,,,,,,,,,08-VISUAL,Photography [Single Photos],63,,,,,,,,,,,,
275,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MED-LAT1,04-MED,,SL,,58,,15E,Photography [Multiple Photos],Photo Page Design,Kobe: Olympian,Michael Whitley,A.M.E.,Jay Clendenin,Photographer,George Wilhelm,Photo Editor,,,,,,,,,,,,,,,,,,,08-VISUAL,Photography [Multiple Photos],79,,,,,,,,,,,,
279,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MED-LAT1,04-MED,,SL,,58,,15A,Photography [Multiple Photos],Single-Day Photo Series,Kobe Retires,Calvin Hom,Director/Photography,George Wilhelm,Photo Editor,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,08-VISUAL,Information Graphics [Single],69,,,,,,,,,,,,
54,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MED-LAT1,04-MED,,SL,,58,,14G,Photography [Single Photos],Portrait,Kobe cover,Jay Clendenin,Photographer,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,08-VISUAL,Information Graphics [Multiple],10,,,,,,,,,,,,
97,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MED-LAT1,04-MED,,SL,,58,,14D,Photography [Single Photos],Sports,Kobe during lead to 5th championship,Wally Skalij,Photographer,George Wilhelm,Photo Editor,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,10-RE,Redesigns,8,,,,,,,,,,,,
368,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MED-LAT1,04-MED,,SL,,58,,09B,Special Coverage,Sports,Kobe Retires,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Allison Hong,Designer,Calvin Horn,Director of Photography,George Wilhelm,Photo Editor,,,,,,,,,,,,,,,09-SC,Miscellaneous,19,,,,,,,,,,,,
