ref,the,publication,city,state,country,award,section,section_multiple,CHAP,SUBFOLDER,page_designer,est,page,comment,cat,general_category,specific_category,headline,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,,,,AWARD,
638,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT10,05-MULT,,Rachael,,77,,03Ia,News Design [Pages],"Other/Broadsheet 175,000 and over",Year in Review,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Mary Cooney,Director of Photography,Martina Ibana,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT10,05-MULT,,Rachael,,77,,15E,Photography [Multiple Photos],Photo Page Design,Year in Review: Politics,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Mary Cooney,Director of Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT10,05-MULT,,Rachael,,77,,15E,Photography [Multiple Photos],Photo Page Design,Year in Review: Staff Photography,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Mary Cooney,Director of Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MULT-LAT10,05-MULT,,Rachael,,77,,10Aa,Special Sections,News/With ads,Year in Review,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Mary Cooney,Director of Photography,Jeremiah Bogert,Photo Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MULT-LAT10,05-MULT,,Rachael,,77,,10Aa,Special Sections,News/With ads,Year in Review,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Mary Cooney,Director of Photography,Jeremiah Bogert,Photo Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT11,05-MULT,,Rachael,0.25,78,,03Ea,News Design [Pages],"Inside page/Broadsheet 175,000 and over",Nuns Stand Vigil,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,Mary Cooney,Director/Photography,Barbara Davidson,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT11,05-MULT,,Rachael,,78,,15E,Photography [Multiple Photos],Photo Page Design,Nuns Stand vigil,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,Mary Cooney,Director of Photography,Barbara Davidson,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT11,05-MULT,,Rachael,,78,,15A,Photography [Multiple Photos],Single-Day Photo Series,Nuns Stand Vigil,Barbara Davidson,Photographer,Mary Cooney,Director of Photography,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT11,05-MULT,,Rachael,,78,,14C,Photography [Single Photos],News Feature,YIR: Hillary Clinton,Barbara Davidson,Photographer,Mary Cooney,Director of Photography,Kelli Sullivan,Deputy Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT12,05-MULT,,Rachael,0.20,76,,04E,Breaking News Topics,Obituaries,Fidel Castro Dies,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,Mark Yemma,Designer,Calvin Hom,Director/Photography,Alan Hagman,Photo Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT12,05-MULT,,Rachael,,76,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Fidel Castro dies,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,Mark Yemma,Designer,Calvin Hom,Director/Photography,Alan Hagman,Photo Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT13,05-MULT,,Rachael,,73,,15B,Photography [Multiple Photos],Multi-Day Photo Series,Celebrating our national parks,Allen Schaben,Photographer,Brian Van der Brua,Photographer,Mark Boster,Photographer,Rick Loomis,Photographer,Christopher Reynolds,Photographer,Gina Ferrazi,Photographer,Gary Coronado,Photographer,Kathy Pyon,Photo Editor,Ricardo DeAratanha,Photo Editor,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,
193,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT13,05-MULT,,Rachael,0.20,73,,05E,Special News Topics,Editor's Choice: Features,Travel: National Parks,Jan Molen,Designer,Paul Gonzales,Deputy Design Director,Michael Whitley,A.M.E.,Kathy Pyon,Photo Editor,Allen Schaben,Photographer,Brian Van der Brug,Photographer,Mark Boster,Photographer,Rick Loomis,Photographer,Gina Ferazzi,Photographer,,,,,,,,,,,,,,,,,,,,,
459,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT14,05-MULT,,Rachael,0.25,78,,03Ea,News Design [Pages],"Inside page/Broadsheet 175,000 and over",India Daughters,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,Mary Cooney,Director of Photography,Barbara Davidson,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT14,05-MULT,,Rachael,,78,,15C,Photography [Multiple Photos],Individual Portfolio,India Daughters,Barbara Davidson,Photographer,Mary Cooney,Director of Photography,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT14,05-MULT,,Rachael,,78,,15E,Photography [Multiple Photos],Photo Page Design,India Daughters,Kelly Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,Mary Cooney,Director/Photography,Barbara Davidson,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT15,05-MULT,,Rachael,,78,,13Ea,Illustration,Arts & Entertainment/Color,Calendar:  The culture of anger,Joe Morse,Illustrator,Paul Gonzales,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT15,05-MULT,,Rachael,0.25,78,,13I,Multiple Illustrations,,The culture of anger,Joe Morse,Illustrator,Paul Gonzales,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT2,05-MULT,,Rachael,,98,,13Ca,Illustration,Opinion/Color,Top Stories of 2016,Steve Brodner,Illustrator,Wes Bausmith,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT2,05-MULT,,Rachael,0.20,98,,11Aa,Opinion Design,"Single Page/Broadsheet 175,000 and over",Top stories of 2016,Steve Brodner,Illustrator,Wes Bausmith,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT2,05-MULT,,Rachael,,98,,11Da,Opinion Design,"Single Page/Broadsheet 175,000 and over",Top stories of 2016,Steve Brodner,Illustrator,Wes Bausmith,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT3,05-MULT,,Rachael,,79,,04A,Breaking News Topics,Editor's Choice: Local/Regional,The Oscars,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Steven Hawkins,Deputy Design Director,Paul Gonzales,Deputy Design Director,Wes Basmith,Deputy Design Director,Judy Pryon,Designer,Jan Molen,Designer,An Amlotte,Designer,Ross May,Designer,Paula Taylor,Designer,,,,,,,,,,,,,,,,,,,
550,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT3,05-MULT,,Rachael,,79,,03Ia,News Design [Pages],"Other/Broadsheet 175,000 and over",The Oscars,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Steven Hawkins,Deputy Design Director,Paul Gonzales,Deputy Design Director,Wes Basmith,Deputy Design Director,Judy Pryor,Designer,Jan Molen,Designer,An Moonen,Designer,Ross May,Designer,Paula Taylor,Designer,,,,,,,,,,,,,,,,,,,
289,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT3,05-MULT,,Rachael,,79,,15B,Photography [Multiple Photos],Multi-Day Photo Series,The Oscars,Calvin Hom,Director/Photography,Alan Hagman,Deputy Photo Editor,Robert St. John,Deputy Photo Editor,Kirk McKoy,Photo Editor,Ken Kwok,Photo Editor,Kathy Pyon,Photographer,Michael Whitley,A.M.E.,Paul Gonzales,Deputy Design Director,Kelli Sullivan,Deputy Design Director,Steven Hawkins,Deputy Design Director,,,,,,,,,,,,,,,,,,,
302,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT3,05-MULT,,Rachael,,79,,15E,Photography [Multiple Photos],Photo Page Design,Oscar Preview: The Favorite,Paul Gonzales,Deputy Design Director,Michael Whitley,A.M.E.,Kathy Pyon,Photo Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MULT-LAT3,05-MULT,,Rachael,,79,,09A,Special Coverage,News,The Oscars,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Paul Gonzales,Deputy Design Director,Steven Hawkins,Deputy Design Director,Ross May,Designer,Judy Pryor,Designer,Jan Molen,Designer,An Moonen,Designer,Wes Bausmith,Deputy Design Director,Paula Taylor,Designer,,,,,,,,,,,,,,,,,,,
189,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT3,05-MULT,,Rachael,0.60,79,,05A,Special News Topics,Editor's Choice: Local/Regional,The Oscars,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Steven Hawkins,Deputy Design Director,Paul Gonzales,Deputy Design Director,Wes Bausmith,Deputy Design Director,Judy Pryon,Designer,Jan Molen,Designer,An Amlotte,Designer,Ross May,Designer,Paula Taylor,Designer,,,,,,,,,,,,,,,,,,,
779,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MULT-LAT3,05-MULT,,Rachael,,79,,10Be,Special Sections,Multiple Sections/Features/With ads,The Oscars,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Steven Hawkins,Deputy Design Director,Paul Gonzales,Deputy Design Director,Wes Bausmith,Deputy Design Director,Judy Pryon,Designer,Jan Molen,Designer,An Amlotte,Designer,Ross May,Designer,Paula Taylor,Designer,,,,,,,,,,,,,,,,,,,
701,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MULT-LAT3,05-MULT,,Rachael,,79,,10Aa,Special Sections,News/With ads,The Oscars,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Steven Hawkins,Deputy Design Director,Paul Gonzales,Deputy Design Director,Wes Bausmith,Deputy Design Director,Judy Pryor,Designer,Jan Molen,Designer,An Moonen,Designer,Jim Brooks,Designer,Paula Taylor,A.M.E.,,,,,,,,,,,,,,,,,,,
321,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT4,05-MULT,,Rachael,,80,,15E,Photography [Multiple Photos],Photo Page Design,The Battle to save Mosul,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,Mary Cooney,Director of Photography,Carolyn Cole,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT4,05-MULT,,Rachael,,80,,15A,Photography [Multiple Photos],Single-Day Photo Series,The Battle to save Mosul,Mary Cooney,Director of Photography,Carolyn Cole,Photographer,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT4,05-MULT,,Rachael,0.25,80,,14C,Photography [Single Photos],News Feature,Mosul: Captain Osama Fuad Raul,Carolyn Cole,Photographer,Mary Cooney,Director of Photography,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT5,05-MULT,,Rachael,,81,,15B,Photography [Multiple Photos],Multi-Day Photo Series,Dodger Playoffs,Wally Skalij,Photographer,Robert Gauthier,Photographer,George Wilhelm,Photo editor,Michael Whitley,A.M.E.,Tim Hubbard,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT5,05-MULT,,Rachael,0.25,81,,14D,Photography [Single Photos],Sports,Dodgers: Div Game 3,George Wilhelm,Photo Editor,Wally Skalij,Photographer,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MULT-LAT5,05-MULT,,Rachael,,81,,09B,Special Coverage,Sports,Dodgers,Michael Whitley,A.M.E.,Tim Hubbard,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,07-FEA,MULT-LAT6,05-MULT,,Rachael,,80,,07Ba,Features Design [Pages],"Arts & Entertainment/Broadsheet 175,000 and over",Year in Review: Arts & Books,Paul Gonzales,Deputy Design Director,Michael Whitley,A.M.E.,Adam Simpson,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MULT-LAT6,05-MULT,,Rachael,,80,,19,Miscellaneous,,Year in Review: Calendar,Paul Gonzales,Deputy Design Director,Michael Whitley,A.M.E.,Adam Simpson,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT6,05-MULT,,Rachael,0.30,80,,05E,Special News Topics,Editor's Choice: Features,Year in Review: Calendar,Paul Gonzales,Deputy Design Director,Michael Whitley,A.M.E.,Adam Simpson,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MULT-LAT6,05-MULT,,Rachael,,80,,10Ce,Special Sections,Features/Section Cover,Year in Review: Calendar,Paul Gonzales,Deputy Design Director,Michael  Whitley,A.M.E.,Adam Simpson,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MULT-LAT6,05-MULT,,Rachael,,80,,10Ce,Special Sections,Features/Section Cover,Year in Review: Arts & Books,Paul Gonzales,Deputy Design Director,Michael Whitley,A.M.E.,Adam Simpson,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT7,05-MULT,,Rachael,0.20,81,,04E,Breaking News Topics,Obituaries,Bowie Appreciation,Ross May,Designer,Steven  Hawkins,Deputy Design Director,Michael Whitley,A.M.E.,Ken Fallin,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT7,05-MULT,,Rachael,,81,,13Fb,Illustration,Portrait or Caricature/Black & White,Bowie Appreciation,Ken Fallin,Illustrator,Michael Whitley,A.M.E.,Ross May,Designer,Steven Hawkins,Deputy Design Director,"
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT8,05-MULT,,Rachael,,80,,13I,Multiple Illustrations,,Baseball,Robert Carter,Illustrator,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT8,05-MULT,,Rachael,0.20,80,,03Ca,News Design [Pages],"Sports/Broadsheet 175,000 and over",Baseball Preview Cover,Michael Whitley,A.M.E.,Robert Carter,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT9,05-MULT,,Rachael,,82,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",The Desperate Trek: Bangladesh,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Mary Cooney,Director/Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT9,05-MULT,,Rachael,,82,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",The Desperate Trek,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Mary Cooney,Director/Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT9,05-MULT,,Rachael,,82,,15B,Photography [Multiple Photos],Multi-Day Photo Series,Desperate Trek,Mary Cooney,Director/Photography,Genaro Molina,Photographer,Gary Coronado,Photographer,Carolyn Cole,Photographer,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MULT-LAT9,05-MULT,,Rachael,,82,,14C,Photography [Single Photos],News Feature,Desperate Trek: Migrants Wait,Genaro  Molina,Photographer,Mary  Cooney,Director of Photography,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MULT-LAT9,05-MULT,,Rachael,0.50,82,,05C,Special News Topics,Editor's Choice: International,The Desperate Trek,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Mary Cooney,Director/Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,The,Louisville Courier-Journal,Louisville,Ky.,,Award of Excellence,06-NEWS,MULT-LCJ1,05-MULT,,Rachael,0.40,81,,05A,Special News Topics,Editor's Choice: Local/Regional,Muhammad Ali,Kayla Byler,Designer,Spencer Holladay,Team Leader,Kyle Slagle,Team Leader,Ryan Hildebrandt,Creative Director,Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,The,Louisville Courier-Journal,Louisville,Ky.,,Award of Excellence,09-SC,MULT-LCJ1,05-MULT,,Rachael,,81,,10Ab,Special Sections,News/No ads,Muhammad Ali,Spencer Holladay,Team Leader,Kyle Slagle,Team Leader,Ryan Hildebrandt,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST1,05-MULT,,Rachael,,80,,04A,Breaking News Topics,Editor's Choice: Local/Regional,Cops cleared in Clark case,Michiela Thuman,News Design Director,Greg Mees,Lead News Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST1,05-MULT,,Rachael,0.20,80,,05A,Special News Topics,Editor's Choice: Local/Regional,Cops cleared in Clark case,Michiela Thuman,News Design Director,Greg Mees,Lead News Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,08-VISUAL,MULT-MST2,05-MULT,,Rachael,,82,,13Ca,Illustration,Opinion/Color,The Republican,Doug Chayka,Illustrator,Kim Maxwell Vu,Senior Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST2,05-MULT,,Rachael,0.20,82,,11Aa,Opinion Design,"Single Page/Broadsheet 175,000 and over",The Republican,Kim Maxwell Vu,Senior Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Doug Chayka,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MULT-MST3,05-MULT,,Rachael,,82,,20A,Combination Print & Digital,News,Danger downstream,Greg Mees,Lead News Designer,Ray Grumney,Graphic Director,Aaron Lavinsky,Photographer,Dave Braunger,Digital Designer,Jamie Hutt,Digital Design Director,Josh Penrod,Presentation Director,Deb Pastner,Director of Photography,Derek Simmons,A.M.E./Visuals,Michiela Thuman,News Design Director,Jenni Pinkley,Senior Video Producer,,,,,,,,,,,,,,,,,,,
566,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST3,05-MULT,,Rachael,,82,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Danger Downstream,Greg Mees,Lead News Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Michiela Thuman,News Design Director,Aaron Lavinsky,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST3,05-MULT,,Rachael,0.30,82,,05A,Special News Topics,Editor's Choice: Local/Regional,Danger Downstream,Greg Mees,Lead News Designer,Aaron Lavinsky,Photographer,Josh Penrod,Presentation Director,Derek  Simmons,A.M.E./Visuals,Deb Pastner,Director of Photography,Michiela Thuman,News Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MULT-MST4,05-MULT,,Rachael,,81,,20A,Combination Print & Digital,News,New star of the North,Ray Grumney,Graphics Director,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Brian Peterson,Photographer,Brandon Ferrill,Designer,Jenni Pinkley,Senior Video Producer,Jamie Hutt,Digital Design Director,Dave Braunger,Digital Designer,Billy Steve Clayton,Digital Designer,,,,,,,,,,,,,,,,,,,,,
559,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,08-VISUAL,MULT-MST4,05-MULT,,Rachael,,81,,16Ba,Information Graphics [Single],Local/Non-Deadline,Now appearing on the horizon,Ray Grumney,Graphics Director,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Mark Boswell,Graphic Artist,Eddie Thomas,Graphic Artist,Jim Foster,Graphic Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MULT-MST4,05-MULT,,Rachael,,81,,19,Miscellaneous,,New star of the north,Ray Grumney,Graphics Director,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Brandon Ferrill,Designer,Jenni Pinkley,Senior Video Producer,Jamie Hutt,Digital Design Director,Dave Braunger,Digital Designer,Billy Steve Clayton,Digital Designer,,,,,,,,,,,,,,,,,,,,,,,
531,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST4,05-MULT,,Rachael,,81,,03Ea,News Design [Pages],"Inside page/Broadsheet 175,000 and over",Now appearing on the horizon,Ray Grumney,Graphics Director,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Mark Boswell,Graphic Artist,Eddie Thomas,Graphic Artist,Jim Foster,Graphic Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST4,05-MULT,,Rachael,0.60,81,,05A,Special News Topics,Editor's Choice: Local/Regional,New star of the north,Ray Grumney,Graphics Director,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Mark Boswell,Graphic Artist,Eddie Thomas,Graphic Artist,Jim Foster,Graphic Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST5,05-MULT,,Rachael,,81,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Can our moose be saved?,Kim Maxwell Vu,Senior Designer,Brian Peterson,Photographer,Mark Boswell,Graphic Artist,Ray Grumney,Graphics Director,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Michiela Thuman,News Design Director,,,,,,,,,,,,,,,,,,,,,,,,,
533,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST5,05-MULT,,Rachael,0.25,81,,03Ea,News Design [Pages],"Inside page/Broadsheet 175,000 and over",Can our moose be saved?,Kim Maxwell Vu,Senior Designer,Brian Peterson,Photographer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Michiela Thuman,News Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST6,05-MULT,,Rachael,,83,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Trump Wave/Election night,Greg Mees,Lead News Designer,Michiela Thuman,News Design Director,Brandon Ferrill,Designer,Ray Grumney,Graphics Director,Jay St. Pierre,Lead Sports Designer,Nicole Hvidsten,Deputy Features Design Director,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,
